overall_game_rank_diff,overall_game_win_rate_diff,overall_series_win_rate_diff,head_to_head_game_win_rate_diff,head_to_head_series_win_rate_diff,latest_series_win_rate_diff,latest_game_win_rate_diff,upper_game_win_rate_diff,upper_series_win_rate_diff,lower_game_win_rate_diff,lower_series_win_rate_diff,win
-1,9.02,7.14,60.0,100.0,14.28,0.0,40.0,50.0,-100.0,-100.0,1
1,-9.02,-7.14,-60.0,-100.0,-14.28,-0.0,-40.0,-50.0,100.0,100.0,0
-1,12.72,14.28,0.0,0.0,0.0,6.72,17.5,33.33,-100.0,-100.0,1
1,-12.72,-14.28,-0.0,-0.0,-0.0,-6.72,-17.5,-33.33,100.0,100.0,0
1,-3.92,-7.14,0.0,0.0,14.29,7.5,46.67,100.0,-80.0,-100.0,1
-1,3.92,7.14,-0.0,-0.0,-14.29,-7.5,-46.67,-100.0,80.0,100.0,0
2,-6.82,0.0,33.34,100.0,14.29,12.08,16.67,50.0,-100.0,-100.0,0
-2,6.82,0.0,-33.34,-100.0,-14.29,-12.08,-16.67,-50.0,100.0,100.0,1
1,2.4,-7.14,-33.34,-100.0,-14.28,-3.47,28.57,50.0,-60.0,-100.0,0
-1,-2.4,7.14,33.34,100.0,14.28,3.47,-28.57,-50.0,60.0,100.0,1
-1,2.43,7.14,0.0,0.0,14.29,7.35,4.44,50.0,-60.0,-100.0,1
1,-2.43,-7.14,-0.0,-0.0,-14.29,-7.35,-4.44,-50.0,60.0,100.0,0
1,-9.54,-14.28,-20.0,0.0,-14.28,1.67,16.67,50.0,-100.0,-100.0,0
-1,9.54,14.28,20.0,-0.0,14.28,-1.67,-16.67,-50.0,100.0,100.0,1
-4,25.71,42.86,60.0,100.0,42.85,32.72,62.5,50.0,-60.0,-100.0,1
4,-25.71,-42.86,-60.0,-100.0,-42.85,-32.72,-62.5,-50.0,60.0,100.0,0
-2,17.11,18.75,0.0,0.0,14.29,16.91,2.86,33.33,-60.0,-100.0,1
2,-17.11,-18.75,-0.0,-0.0,-14.29,-16.91,-2.86,-33.33,60.0,100.0,0
-3,14.47,18.75,-20.0,0.0,28.57,16.67,15.0,33.33,-60.0,-100.0,1
3,-14.47,-18.75,20.0,-0.0,-28.57,-16.67,-15.0,-33.33,60.0,100.0,0
-1,7.69,6.25,60.0,100.0,-14.28,-7.51,16.67,50.0,-100.0,-100.0,0
1,-7.69,-6.25,-60.0,-100.0,14.28,7.51,-16.67,-50.0,100.0,100.0,1
