overall_game_rank_diff,overall_game_win_rate_diff,overall_series_win_rate_diff,head_to_head_game_win_rate_diff,head_to_head_series_win_rate_diff,latest_series_win_rate_diff,latest_game_win_rate_diff,upper_game_win_rate_diff,upper_series_win_rate_diff,win
3,-11.66,-28.57,-33.34,-100.0,-57.14,-29.83,10.0,0.0,0
-3,11.66,28.57,33.34,100.0,57.14,29.83,-10.0,0.0,1
4,-26.11,-35.71,-60.0,-100.0,-28.57,-24.37,6.67,50.0,1
-4,26.11,35.71,60.0,100.0,28.57,24.37,-6.67,-50.0,0
2,-6.95,-7.14,-60.0,-100.0,-28.57,-30.0,16.67,50.0,0
-2,6.95,7.14,60.0,100.0,28.57,30.0,-16.67,-50.0,1
5,-18.75,-28.57,20.0,0.0,0.0,0.0,16.67,50.0,1
-5,18.75,28.57,-20.0,-0.0,-0.0,-0.0,-16.67,-50.0,0
-1,3.75,14.29,60.0,100.0,-14.28,-9.58,5.36,0.0,0
1,-3.75,-14.29,-60.0,-100.0,14.28,9.58,-5.36,0.0,1
-1,11.07,7.15,20.0,0.0,0.0,7.06,-5.56,0.0,1
1,-11.07,-7.15,-20.0,-0.0,-0.0,-7.06,5.56,0.0,0
2,-2.62,-7.14,-20.0,0.0,-57.14,-31.04,-7.14,0.0,1
-2,2.62,7.14,20.0,-0.0,57.14,31.04,7.14,0.0,0
-3,8.03,14.29,33.34,100.0,14.28,8.63,-12.5,-50.0,0
3,-8.03,-14.29,-33.34,-100.0,-14.28,-8.63,12.5,50.0,1
-2,14.05,25.0,60.0,100.0,28.57,8.82,-22.5,-50.0,0
2,-14.05,-25.0,-60.0,-100.0,-28.57,-8.82,22.5,50.0,1
2,-23.3,-18.75,-100.0,-100.0,-14.29,-26.66,25.0,50.0,1
-2,23.3,18.75,100.0,100.0,14.29,26.66,-25.0,-50.0,0
-2,13.78,12.5,20.0,0.0,0.0,11.76,18.06,0.0,1
2,-13.78,-12.5,-20.0,-0.0,-0.0,-11.76,-18.06,0.0,0
