overall_game_rank_diff,overall_game_win_rate_diff,overall_series_win_rate_diff,head_to_head_game_win_rate_diff,head_to_head_series_win_rate_diff,latest_series_win_rate_diff,latest_game_win_rate_diff,upper_game_win_rate_diff,win
-1,9.02,7.14,60.0,100.0,14.28,0.0,0.0,1
1,-9.02,-7.14,-60.0,-100.0,-14.28,-0.0,0.0,0
-1,12.72,14.28,0.0,0.0,0.0,6.72,20.0,1
1,-12.72,-14.28,-0.0,-0.0,-0.0,-6.72,-20.0,0
-2,12.38,14.29,0.0,0.0,57.14,43.06,-13.33,1
2,-12.38,-14.29,-0.0,-0.0,-57.14,-43.06,13.33,0
-2,6.82,0.0,-33.34,-100.0,-14.29,-12.08,0.0,0
2,-6.82,0.0,33.34,100.0,14.29,12.08,0.0,1
1,2.4,-7.14,-33.34,-100.0,-14.28,-3.47,0.0,1
-1,-2.4,7.14,33.34,100.0,14.28,3.47,0.0,0
1,-2.43,-7.14,0.0,0.0,-14.29,-7.35,15.0,0
-1,2.43,7.14,-0.0,-0.0,14.29,7.35,-15.0,1
1,-9.54,-14.28,-20.0,0.0,-14.28,1.67,-15.0,1
-1,9.54,14.28,20.0,-0.0,14.28,-1.67,15.0,0
5,-37.75,-50.0,-60.0,-100.0,-14.28,-20.91,-33.33,0
-5,37.75,50.0,60.0,100.0,14.28,20.91,33.33,1
2,-17.11,-18.75,0.0,0.0,-14.29,-16.91,6.67,0
-2,17.11,18.75,-0.0,-0.0,14.29,16.91,-6.67,1
-3,14.47,18.75,-20.0,0.0,28.57,16.67,-25.71,1
3,-14.47,-18.75,20.0,-0.0,-28.57,-16.67,25.71,0
1,-7.69,-6.25,-60.0,-100.0,14.28,7.51,-15.0,0
-1,7.69,6.25,60.0,100.0,-14.28,-7.51,15.0,1
