overall_game_rank_diff,overall_game_win_rate_diff,overall_series_win_rate_diff,head_to_head_game_win_rate_diff,head_to_head_series_win_rate_diff,latest_series_win_rate_diff,latest_game_win_rate_diff,upper_game_win_rate_diff,win
-5,25.21,35.71,100.0,100.0,57.14,41.67,-100.0,1
5,-25.21,-35.71,-100.0,-100.0,-57.14,-41.67,100.0,0
-1,4.53,0.0,60.0,100.0,-14.28,11.84,-66.67,1
1,-4.53,0.0,-60.0,-100.0,14.28,-11.84,66.67,0
-3,26.11,35.71,60.0,100.0,28.57,24.37,-66.67,1
3,-26.11,-35.71,-60.0,-100.0,-28.57,-24.37,66.67,0
-2,12.72,14.28,0.0,0.0,0.0,6.72,-100.0,0
2,-12.72,-14.28,-0.0,-0.0,-0.0,-6.72,100.0,1
-1,3.03,0.0,20.0,0.0,42.86,37.5,-66.67,1
1,-3.03,0.0,-20.0,-0.0,-42.86,-37.5,66.67,0
-3,16.3,21.43,0.0,0.0,42.85,35.56,-100.0,0
3,-16.3,-21.43,-0.0,-0.0,-42.85,-35.56,100.0,1
-4,11.11,14.29,-20.0,0.0,-14.29,-9.87,-66.67,1
4,-11.11,-14.29,20.0,-0.0,14.29,9.87,66.67,0
-3,14.46,14.28,60.0,100.0,0.0,-2.21,-66.67,0
3,-14.46,-14.28,-60.0,-100.0,-0.0,2.21,66.67,1
-1,10.97,0.0,0.0,0.0,28.57,25.0,-75.0,1
1,-10.97,0.0,-0.0,-0.0,-28.57,-25.0,75.0,0
-3,12.32,21.43,0.0,0.0,28.57,18.89,-60.0,1
3,-12.32,-21.43,-0.0,-0.0,-28.57,-18.89,60.0,0
-1,10.83,14.28,0.0,0.0,28.57,15.0,-60.0,1
1,-10.83,-14.28,-0.0,-0.0,-28.57,-15.0,60.0,0
-3,24.33,28.57,0.0,0.0,42.86,29.41,-60.0,1
3,-24.33,-28.57,-0.0,-0.0,-42.86,-29.41,60.0,0
-4,10.3,21.43,0.0,0.0,57.14,38.89,-60.0,1
4,-10.3,-21.43,-0.0,-0.0,-57.14,-38.89,60.0,0
-3,17.22,28.57,20.0,0.0,14.28,6.18,-100.0,1
3,-17.22,-28.57,-20.0,-0.0,-14.28,-6.18,100.0,0
-4,20.07,21.43,20.0,0.0,-14.29,-3.18,-60.0,0
4,-20.07,-21.43,-20.0,-0.0,14.29,3.18,60.0,1
-4,25.71,42.86,60.0,100.0,42.85,32.72,-60.0,1
4,-25.71,-42.86,-60.0,-100.0,-42.85,-32.72,60.0,0
-1,2.11,6.25,-60.0,-100.0,-28.57,-20.59,-75.0,0
1,-2.11,-6.25,60.0,100.0,28.57,20.59,75.0,1
-3,29.05,37.5,100.0,100.0,71.43,46.32,-100.0,1
3,-29.05,-37.5,-100.0,-100.0,-71.43,-46.32,100.0,0
-1,8.6,6.25,60.0,100.0,0.0,0.0,-60.0,1
1,-8.6,-6.25,-60.0,-100.0,-0.0,-0.0,60.0,0
-4,29.17,31.25,20.0,0.0,42.86,43.33,-100.0,0
4,-29.17,-31.25,-20.0,-0.0,-42.86,-43.33,100.0,1
-1,-0.9,6.25,0.0,0.0,28.57,13.4,-100.0,1
1,0.9,-6.25,-0.0,-0.0,-28.57,-13.4,100.0,0
-4,20.57,25.0,60.0,100.0,14.29,17.65,-60.0,1
4,-20.57,-25.0,-60.0,-100.0,-14.29,-17.65,60.0,0
