overall_rank_diff,overall_game_win_rate_diff,overall_series_win_rate_diff,head_to_head_game_win_rate_diff,head_to_head_series_win_rate_diff,latest_series_win_rate_diff,latest_game_win_rate_diff,win
-2,4.85,7.14,100.0,100.0,0.0,4.170000000000002,0
2,-4.85,-7.14,-100.0,-100.0,-0.0,-4.170000000000002,1
-2,11.27,28.57,-20.0,0.0,57.13999999999999,21.98,1
2,-11.27,-28.57,20.0,-0.0,-57.13999999999999,-21.98,0
-5,25.21,35.71,100.0,100.0,57.13999999999999,41.67,1
5,-25.21,-35.71,-100.0,-100.0,-57.13999999999999,-41.67,0
-1,4.53,0.0,60.0,100.0,-14.279999999999989,11.840000000000003,1
1,-4.53,0.0,-60.0,-100.0,14.279999999999989,-11.840000000000003,0
3,-11.66,-28.57,-33.34,-100.0,-57.13999999999999,-29.83,0
-3,11.66,28.57,33.34,100.0,57.13999999999999,29.83,1
-1,9.02,7.14,60.0,100.0,14.279999999999989,0.0,1
1,-9.02,-7.14,-60.0,-100.0,-14.279999999999989,-0.0,0
-1,-0.16,7.14,33.34,100.0,14.28,2.9399999999999977,0
1,0.16,-7.14,-33.34,-100.0,-14.28,-2.9399999999999977,1
-3,15.87,28.58,0.0,0.0,14.290000000000006,12.079999999999991,1
3,-15.87,-28.58,-0.0,-0.0,-14.290000000000006,-12.079999999999991,0
-3,26.11,35.71,60.0,100.0,28.570000000000007,24.370000000000005,1
3,-26.11,-35.71,-60.0,-100.0,-28.570000000000007,-24.370000000000005,0
-2,12.72,14.28,0.0,0.0,0.0,6.720000000000013,0
2,-12.72,-14.28,-0.0,-0.0,-0.0,-6.720000000000013,1
4,-26.11,-35.71,-60.0,-100.0,-28.570000000000007,-24.370000000000005,1
-4,26.11,35.71,60.0,100.0,28.570000000000007,24.370000000000005,0
-1,12.72,14.28,0.0,0.0,0.0,6.720000000000013,1
1,-12.72,-14.28,-0.0,-0.0,-0.0,-6.720000000000013,0
3,-15.25,-21.43,-100.0,-100.0,-14.28,-3.3299999999999983,0
-3,15.25,21.43,100.0,100.0,14.28,3.3299999999999983,1
-1,4.29,7.14,0.0,0.0,-14.28,-11.810000000000002,1
1,-4.29,-7.14,-0.0,-0.0,14.28,11.810000000000002,0
-1,3.03,0.0,20.0,0.0,42.86,37.5,1
1,-3.03,0.0,-20.0,-0.0,-42.86,-37.5,0
-3,16.3,21.43,0.0,0.0,42.85,35.56,0
3,-16.3,-21.43,-0.0,-0.0,-42.85,-35.56,1
2,-6.95,-7.14,-60.0,-100.0,-28.57,-30.0,0
-2,6.95,7.14,60.0,100.0,28.57,30.0,1
-2,12.38,14.29,0.0,0.0,57.14,43.06,1
2,-12.38,-14.29,-0.0,-0.0,-57.14,-43.06,0
-3,12.5,14.29,20.0,0.0,14.279999999999989,18.75,0
3,-12.5,-14.29,-20.0,-0.0,-14.279999999999989,-18.75,1
-1,0.96,14.29,0.0,0.0,42.86000000000001,27.21,1
1,-0.96,-14.29,-0.0,-0.0,-42.86000000000001,-27.21,0
-4,11.11,14.29,-20.0,0.0,-14.290000000000006,-9.869999999999996,1
4,-11.11,-14.29,20.0,-0.0,14.290000000000006,9.869999999999996,0
-3,14.46,14.28,60.0,100.0,0.0,-2.2099999999999937,0
3,-14.46,-14.28,-60.0,-100.0,-0.0,2.2099999999999937,1
5,-18.75,-28.57,20.0,0.0,0.0,0.0,1
-5,18.75,28.57,-20.0,-0.0,-0.0,-0.0,0
-2,6.82,0.0,-33.34,-100.0,-14.290000000000006,-12.079999999999991,0
2,-6.82,0.0,33.34,100.0,14.290000000000006,12.079999999999991,1
-3,14.29,28.57,-20.0,0.0,0.0,-6.25,1
3,-14.29,-28.57,20.0,-0.0,-0.0,6.25,0
-1,4.82,7.14,60.0,100.0,0.0,-2.230000000000004,1
