overall_game_rank_diff,overall_game_win_rate_diff,overall_series_win_rate_diff,head_to_head_game_win_rate_diff,head_to_head_series_win_rate_diff,latest_series_win_rate_diff,latest_game_win_rate_diff,win
-2,4.85,7.14,100.0,100.0,0.0,4.17,0
2,-4.85,-7.14,-100.0,-100.0,-0.0,-4.17,1
-2,11.27,28.57,-20.0,0.0,57.14,21.98,1
2,-11.27,-28.57,20.0,-0.0,-57.14,-21.98,0
-5,25.21,35.71,100.0,100.0,57.14,41.67,1
5,-25.21,-35.71,-100.0,-100.0,-57.14,-41.67,0
-1,4.53,0.0,60.0,100.0,-14.28,11.84,1
1,-4.53,0.0,-60.0,-100.0,14.28,-11.84,0
3,-11.66,-28.57,-33.34,-100.0,-57.14,-29.83,0
-3,11.66,28.57,33.34,100.0,57.14,29.83,1
-1,9.02,7.14,60.0,100.0,14.28,0.0,1
1,-9.02,-7.14,-60.0,-100.0,-14.28,-0.0,0
-1,-0.16,7.14,33.34,100.0,14.28,2.94,0
1,0.16,-7.14,-33.34,-100.0,-14.28,-2.94,1
-3,15.87,28.58,0.0,0.0,14.29,12.08,1
3,-15.87,-28.58,-0.0,-0.0,-14.29,-12.08,0
-3,26.11,35.71,60.0,100.0,28.57,24.37,1
3,-26.11,-35.71,-60.0,-100.0,-28.57,-24.37,0
-2,12.72,14.28,0.0,0.0,0.0,6.72,0
2,-12.72,-14.28,-0.0,-0.0,-0.0,-6.72,1
4,-26.11,-35.71,-60.0,-100.0,-28.57,-24.37,1
-4,26.11,35.71,60.0,100.0,28.57,24.37,0
-1,12.72,14.28,0.0,0.0,0.0,6.72,1
1,-12.72,-14.28,-0.0,-0.0,-0.0,-6.72,0
3,-15.25,-21.43,-100.0,-100.0,-14.28,-3.33,0
-3,15.25,21.43,100.0,100.0,14.28,3.33,1
-1,4.29,7.14,0.0,0.0,-14.28,-11.81,1
1,-4.29,-7.14,-0.0,-0.0,14.28,11.81,0
-1,3.03,0.0,20.0,0.0,42.86,37.5,1
1,-3.03,0.0,-20.0,-0.0,-42.86,-37.5,0
-3,16.3,21.43,0.0,0.0,42.85,35.56,0
3,-16.3,-21.43,-0.0,-0.0,-42.85,-35.56,1
2,-6.95,-7.14,-60.0,-100.0,-28.57,-30.0,0
-2,6.95,7.14,60.0,100.0,28.57,30.0,1
-2,12.38,14.29,0.0,0.0,57.14,43.06,1
2,-12.38,-14.29,-0.0,-0.0,-57.14,-43.06,0
-3,12.5,14.29,20.0,0.0,14.28,18.75,0
3,-12.5,-14.29,-20.0,-0.0,-14.28,-18.75,1
-1,0.96,14.29,0.0,0.0,42.86,27.21,1
1,-0.96,-14.29,-0.0,-0.0,-42.86,-27.21,0
-4,11.11,14.29,-20.0,0.0,-14.29,-9.87,1
4,-11.11,-14.29,20.0,-0.0,14.29,9.87,0
-3,14.46,14.28,60.0,100.0,0.0,-2.21,0
3,-14.46,-14.28,-60.0,-100.0,-0.0,2.21,1
5,-18.75,-28.57,20.0,0.0,0.0,0.0,1
